car,time,circuit,goals_crossed,racing_line
4,0.10300000000000864,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.0, 0.0, 0.0, 0.9920281080893236]], [1091.2450076318457, 1288.979972389332, 5, 173.30075576600638, [0.0, 0.0, 0.0, -0.9896258766355315]], [1086.2533023457315, 1289.2678583677684, 5, 183.30075576600638, [0.0, 0.0, -0.9896258766355315]], [1081.3874231547456, 1290.4181712377003, 5, 193.30075576600638, [0.0, 0.0, -0.9991744871316386]], [1076.7952173358526, 1292.3959593246611, 5, 203.30075576600638, [0.0, 0.0, -0.9998767189737746]], [1072.616216739091, 1295.1411285384374, 5, 213.30075576600638, [0.0, 0.0, -0.9999985424088456]]]"
17,0.10300000000000864,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [-16.11809565095832, 0.0, 0.0, 1.0708487280609395e-13]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1083.7035861633392, 1283.2729595696228, 9, 153.30075576600638, [-16.11809565095832, 0.0, 0.0, 2.0090157914244612e-10]], [1076.487534418437, 1277.8944284304648, 9, 143.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1066.0643485646892, 1270.1254390072365, 13, 143.30075576600638, [-16.11809565095832, 0.0, 0.0, 2.0090157914244612e-10]], [1057.1485851804885, 1260.6645107611844, 13, 133.30075576600638, [-16.11809565095832, 0.0, 0.0]]]"
27,0.10300000000000864,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.3667001899685359, 2.469106873864714e-23, 0.0, 0.7685857481389379]], [1091.2450076318457, 1288.979972389332, 5, 173.30075576600638, [0.3667296301801117, 2.469106873864714e-23, 0.0]], [1082.3064579361583, 1287.9300536602266, 9, 173.30075576600638, [0.36672963017567034, 2.469106873864714e-23, 0.0, 0.7686135005107151]], [1073.321388421153, 1288.4482484214122, 9, 183.30075576600638, [0.3667296301801117, 2.469106873864714e-23, 0.0]], [1060.3429546772563, 1289.1967519653472, 13, 183.30075576600638, [0.3667296301801117, 2.469106873864714e-23, 0.0, 0.7686135005149018]], [1047.6916687806931, 1292.18756542717, 13, 193.30075576600638, [0.3667296301801117, 2.469106873864714e-23, 0.0]]]"
30,0.10300000000000864,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-0.19787071447024224, 0.7967302457193134, 0.0, 0.0]], [1095.639736109762, 1288.3041567131947, 5, 153.30075576600638, [-16.11809565095832, 7.56587669434271e-24, 0.0, 0.11352006708952628]], [1091.6308184737052, 1285.316083858107, 5, 143.30075576600638, [-16.11809565095832, 5.611462681735211e-20, 0.0]], [1088.201678710551, 1281.6772653019332, 5, 133.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1085.4565094967747, 1277.4982647051716, 5, 123.30075576600638, [-0.10188406663818679, 0.0, 0.0]], [1083.478721409814, 1272.9060588862785, 5, 113.30075576600638, [-0.10188351354875233, 0.0, 0.0]]]"
21,0.1220000000000141,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-1.532949959966336, 0.0, 0.0, 0.0]], [1099.3048391577488, 1289.9530782145148, 1, 143.30075576600638, [-1.2292751933481734, 0.0, 0.0]], [1098.6190112051179, 1289.22531450328, 1, 133.30075576600638, [-1.229275198141844, 0.0, 0.0]], [1098.0699773623626, 1288.3895143839277, 1, 123.30075576600638, [-1.229275382553269, 0.0, 0.0]], [1095.3248081485863, 1284.210513787166, 5, 123.30075576600638, [0.914871956425819, 0.0, 0.0, 2.81949466343043]], [1091.8956683854321, 1280.5716952309922, 5, 133.30075576600638, [0.914871956684896, 0.0, 0.0]], [1085.7232168117548, 1274.0218218298792, 9, 133.30075576600638, [0.9148719557655578, 0.0, 0.0, 2.819494560632915]]]"
24,0.2370000000000232,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.028387637661890747, 3.2872961012283477e-08, 0.0, 0.0]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [3.2872961012283477e-08, 0.0, 0.0]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [3.2872961012283477e-08, 0.0, 0.0]], [1093.8150307286194, 1297.4053871469882, 1, 253.30075576600638, [3.2872961012283477e-08, 0.39709600692915714, 0.0]], [1093.6983730920522, 1298.398559335398, 1, 263.3007557660064, [0.027859777040372482, 3.2872961012283477e-08, 0.0, 0.0]], [1093.4110252064859, 1299.3563856206192, 1, 253.30075576600638, [3.2872961012283477e-08, 0.39709600692915714, 0.0]], [1093.2943675699187, 1300.349557809029, 1, 263.3007557660064, [0.027859777040371608, 3.2872961012283477e-08, 0.0, 0.0]]]"
20,0.2540000000000191,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-16.11809565095832, 0.0, 0.0, 0.0]], [1099.3048391577488, 1289.9530782145148, 1, 143.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1098.6190112051179, 1289.22531450328, 1, 133.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1098.0699773623626, 1288.3895143839277, 1, 123.30075576600638, [-0.3745157899862852, 0.0, 0.0]], [1097.6744197449705, 1287.471073220149, 1, 113.30075576600638, [-0.37450135690803976, 0.0, 0.0]], [1097.4443571709842, 1286.4978973819518, 1, 103.30075576600638, [-0.374501357153981, 0.0, 0.0]], [1097.3867799752968, 1285.499556324729, 1, 93.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1097.503437611864, 1284.5063841363192, 1, 83.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1097.7907854974303, 1283.548557851098, 1, 73.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1098.240092711898, 1282.6551805360582, 1, 63.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1098.8377072829155, 1281.8533970088467, 1, 53.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1099.5654709941502, 1281.1675690562158, 1, 43.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1100.4012711135026, 1280.6185352134605, 1, 33.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1101.3197122772813, 1280.2229775960684, 1, 23.300755766006375, [-0.3745013569109323, 0.0, 0.0]], [1102.2928881154785, 1279.9929150220821, 1, 13.300755766006375, [-0.37450135690803976, 0.0, 0.0]]]"
3,0.26900000000000546,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.0, 0.0, 0.0, 0.0]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [0.0, 0.0, 0.0]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [0.0, 0.0, 0.0]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [0.0, 0.0, 0.0]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [0.0, 0.0, 0.0]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [0.0, 0.0, 0.0]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [0.0, 0.0, 0.0]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [0.0, 0.0, 0.0]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [0.0, 0.0, 0.0]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [0.0, 0.0, 0.0]], [1094.159955809873, 1297.4459019189899, 1, 273.3007557660064, [0.0, 0.0, 0.0]], [1094.3900183838593, 1298.419077757187, 1, 283.3007557660064, [0.0, 0.0, 0.0]], [1094.7855760012515, 1299.3375189209657, 1, 293.3007557660064, [0.0, 0.0, 0.0]], [1095.3346098440068, 1300.1733190403181, 1, 303.3007557660064, [0.0, 0.0, 0.0]], [1096.0204377966377, 1300.9010827515528, 1, 313.3007557660064, [0.0, 0.0, 0.0]], [1096.8222213238491, 1301.4986973225705, 1, 323.3007557660064, [0.0, 0.0, 0.0]]]"
5,0.26900000000000546,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.0, 0.0, 0.0, 0.0]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [0.0, 0.0, 0.0]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [0.0, 0.0, 0.0]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [0.0, 0.0, 0.0]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [0.0, 0.0, 0.0]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [0.0, 0.0, 0.0]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [0.0, 0.0, 0.0]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [0.0, 0.0, 0.0]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [0.0, 0.0, 0.0]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [0.0, 0.0, 0.0]], [1094.159955809873, 1297.4459019189899, 1, 273.3007557660064, [0.0, 0.0, 0.0]], [1094.3900183838593, 1298.419077757187, 1, 283.3007557660064, [0.0, 0.0, 0.0]], [1094.7855760012515, 1299.3375189209657, 1, 293.3007557660064, [0.0, 0.0, 0.0]], [1095.3346098440068, 1300.1733190403181, 1, 303.3007557660064, [0.0, 0.0, 0.0]], [1096.0204377966377, 1300.9010827515528, 1, 313.3007557660064, [0.0, 0.0, 0.0]], [1096.8222213238491, 1301.4986973225705, 1, 323.3007557660064, [0.0, 0.0, 0.0]]]"
6,0.26900000000000546,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.0, 0.0, 0.0, 0.0]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [0.0, 0.0, 0.0]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [0.0, 0.0, 0.0]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [0.0, 0.0, 0.0]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [0.0, 0.0, 0.0]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [0.0, 0.0, 0.0]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [0.0, 0.0, 0.0]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [0.0, 0.0, 0.0]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [0.0, 0.0, 0.0]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [0.0, 0.0, 0.0]], [1094.159955809873, 1297.4459019189899, 1, 273.3007557660064, [0.0, 0.0, 0.0]], [1094.3900183838593, 1298.419077757187, 1, 283.3007557660064, [0.0, 0.0, 0.0]], [1094.7855760012515, 1299.3375189209657, 1, 293.3007557660064, [0.0, 0.0, 0.0]], [1095.3346098440068, 1300.1733190403181, 1, 303.3007557660064, [0.0, 0.0, 0.0]], [1096.0204377966377, 1300.9010827515528, 1, 313.3007557660064, [0.0, 0.0, 0.0]], [1096.8222213238491, 1301.4986973225705, 1, 323.3007557660064, [0.0, 0.0, 0.0]]]"
